mes_inicio;provincia_origen;provincia_destino;viajes;viajeros;edicion
2021-02;Chaco;Jujuy;4;11;previaje 1
2021-02;Chaco;Mendoza;30;94;previaje 1
2021-02;Chaco;Misiones;28;84;previaje 1
2021-02;Chaco;Neuqu‚n;15;82;previaje 1
2021-02;Chaco;R¡o Negro;51;136;previaje 1
2021-02;Chaco;Salta;7;21;previaje 1
2021-02;Chaco;San Luis;8;26;previaje 1
2021-02;Chaco;Santa Cruz;23;82;previaje 1
2021-02;Chaco;Santiago del Estero;3;14;previaje 1
2021-02;Chaco;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;45;109;previaje 1
2021-02;Chubut;Buenos Aires;37;98;previaje 1
2021-02;Chubut;Chubut;69;251;previaje 1
2021-02;Chubut;Ciudad Aut¢noma de Buenos Aires;30;54;previaje 1
2021-02;Chubut;C¢rdoba;17;35;previaje 1
2021-02;Chubut;Entre R¡os;4;15;previaje 1
2021-02;Chubut;Jujuy;3;3;previaje 1
2021-02;Chubut;Mendoza;10;27;previaje 1
2021-02;Chubut;Misiones;17;43;previaje 1
2021-02;Chubut;Neuqu‚n;25;72;previaje 1
2021-02;Chubut;R¡o Negro;27;96;previaje 1
2021-02;Chubut;Salta;16;40;previaje 1
2021-02;Chubut;San Luis;3;8;previaje 1
2021-02;Chubut;Santa Cruz;10;26;previaje 1
2021-02;Chubut;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;23;59;previaje 1
2021-02;Chubut;Tucum n;3;5;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Buenos Aires;2640;8308;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Catamarca;21;38;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Chaco;7;14;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Chubut;292;719;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Ciudad Aut¢noma de Buenos Aires;168;428;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;C¢rdoba;834;2418;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Corrientes;33;68;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Entre R¡os;210;707;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Jujuy;178;369;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;La Pampa;8;24;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;La Rioja;18;40;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Mendoza;1338;3499;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Misiones;706;1782;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Neuqu‚n;776;2069;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;R¡o Negro;3019;7853;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Salta;550;1307;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;San Juan;58;114;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;San Luis;199;572;previaje 1
2021-02;Ciudad Aut¢noma de Buenos Aires;Santa Cruz;1038;2688;previaje 1
